# START_DATE format is %Y-%m-%d
# END_DATE format is %Y-%m-%d
# DAYS is the amount of days between START_DATE and END_DATE (days)
# SITE is the evapotranspiration measurement site
# ET is the evapotranspiration amount between START_DATE and END_DATE (mm)
START_DATE,END_DATE,DAYS,SITE,ET
1963-06-11,1963-06-20,10,ET2.1,23
1963-06-21,1963-06-30,10,ET2.1,18
1963-07-01,1963-07-10,10,ET2.1,20
1963-07-11,1963-07-20,10,ET2.1,24
1963-07-21,1963-07-31,11,ET2.1,21
1963-08-01,1963-08-10,10,ET2.1,16
1963-08-11,1963-08-20,10,ET2.1,13
1963-08-21,1963-08-31,11,ET2.1,11
1963-09-01,1963-09-10,10,ET2.1,14
1963-09-11,1963-09-20,10,ET2.1,11
1963-09-21,1963-09-29,9,ET2.1,11
1963-06-01,1963-06-10,10,ET2.2,50
1963-06-11,1963-06-20,10,ET2.2,40
1963-06-21,1963-06-30,10,ET2.2,31
1963-07-01,1963-07-10,10,ET2.2,21
1963-07-11,1963-07-20,10,ET2.2,44
1963-07-21,1963-07-31,11,ET2.2,40
1963-08-01,1963-08-10,10,ET2.2,26
1963-08-11,1963-08-20,10,ET2.2,20
1963-08-21,1963-08-31,11,ET2.2,17
1963-09-01,1963-09-10,10,ET2.2,20
1963-09-11,1963-09-20,10,ET2.2,15
1963-09-21,1963-09-29,9,ET2.2,12
1964-05-01,1964-05-10,10,ET1,18
1964-05-11,1964-05-20,10,ET1,30
1964-05-21,1964-05-31,11,ET1,41
1964-05-11,1964-05-20,10,ET2.1,35
1964-05-21,1964-05-31,11,ET2.1,44
1964-05-11,1964-05-20,10,ET2.2,44
1964-05-21,1964-05-31,11,ET2.2,51
1964-06-01,1964-06-10,10,ET1,30
1964-06-11,1964-06-20,10,ET1,38
1964-06-21,1964-06-30,10,ET1,37
1964-06-01,1964-06-10,10,ET2.1,31
1964-06-11,1964-06-20,10,ET2.1,30
1964-06-21,1964-06-30,10,ET2.1,24
1964-06-01,1964-06-10,10,ET2.2,42
1964-06-11,1964-06-20,10,ET2.2,40
1964-06-21,1964-06-30,10,ET2.2,25
1964-07-01,1964-07-10,10,ET1,25
1964-07-11,1964-07-20,10,ET1,32
1964-07-21,1964-07-31,11,ET1,31
1964-07-01,1964-07-10,10,ET2.1,20
1964-07-11,1964-07-20,10,ET2.1,24
1964-07-21,1964-07-31,11,ET2.1,21
1964-07-01,1964-07-10,10,ET2.2,17
1964-07-11,1964-07-20,10,ET2.2,21
1964-07-21,1964-07-31,11,ET2.2,22
1964-08-01,1964-08-10,10,ET1,16
1964-08-11,1964-08-20,10,ET1,19
1964-08-21,1964-08-31,11,ET1,15
1964-08-01,1964-08-10,10,ET2.1,14
1964-08-11,1964-08-20,10,ET2.1,14
1964-08-21,1964-08-31,11,ET2.1,17
1964-08-01,1964-08-10,10,ET2.2,15
1964-08-11,1964-08-20,10,ET2.2,17
1964-08-21,1964-08-31,11,ET2.2,12
1964-09-01,1964-09-10,10,ET1,10
1964-09-11,1964-09-20,10,ET1,8
1964-09-21,1964-09-30,10,ET1,6
1964-09-01,1964-09-10,10,ET2.1,9
1964-09-11,1964-09-20,10,ET2.1,9
1964-09-21,1964-09-30,10,ET2.1,7
1964-09-01,1964-09-10,10,ET2.2,7
1964-09-11,1964-09-20,10,ET2.2,7
1964-09-21,1964-09-30,10,ET2.2,8
1964-10-01,1964-10-10,10,ET1,7
1964-10-11,1964-10-20,10,ET1,1
1964-10-21,1964-10-31,11,ET1,1
1964-10-01,1964-10-10,10,ET2.2,11
1964-10-11,1964-10-20,10,ET2.2,1
1964-10-21,1964-10-31,11,ET2.2,3
1965-05-01,1965-05-10,10,ET1,27
1965-05-11,1965-05-20,10,ET1,21
1965-05-21,1965-05-31,11,ET1,35
1964-10-01,1964-10-10,10,ET2.1,13
1965-05-04,1965-05-10,7,ET2.1,17
1965-05-11,1965-05-20,10,ET2.1,18
1965-05-21,1965-05-31,11,ET2.1,27
1965-05-07,1965-05-10,4,ET2.2,11
1965-05-11,1965-05-20,10,ET2.2,26
1965-05-21,1965-05-31,11,ET2.2,40
1965-06-01,1965-06-10,10,ET1,36
1965-06-11,1965-06-20,10,ET1,38
1965-06-21,1965-06-30,10,ET1,29
1965-06-01,1965-06-10,10,ET2.1,23
1965-06-11,1965-06-20,10,ET2.1,19
1965-06-21,1965-06-30,10,ET2.1,20
1965-06-01,1965-06-10,10,ET2.2,39
1965-06-11,1965-06-20,10,ET2.2,42
1965-06-21,1965-06-30,10,ET2.2,32
1965-07-01,1965-07-10,10,ET1,25
1965-07-11,1965-07-20,10,ET1,29
1965-07-21,1965-07-30,10,ET1,22
1965-07-01,1965-07-10,10,ET2.1,16
1965-07-11,1965-07-20,10,ET2.1,18
1965-07-21,1965-07-30,11,ET2.1,10
1965-07-01,1965-07-10,10,ET2.2,26
1965-07-11,1965-07-20,10,ET2.2,38
1965-07-21,1965-07-31,11,ET2.2,19
1965-08-01,1965-08-10,10,ET1,24
1965-08-11,1965-08-20,10,ET1,11
1965-08-21,1965-08-31,11,ET1,19
1965-08-01,1965-08-10,10,ET2.1,18
1965-08-11,1965-08-20,10,ET2.1,11
1965-08-21,1965-08-31,11,ET2.1,14
1965-08-01,1965-08-10,10,ET2.2,25
1965-08-11,1965-08-20,10,ET2.2,15
1965-08-21,1965-08-31,11,ET2.2,24
1965-09-01,1965-09-10,10,ET1,12
1965-09-11,1965-09-20,10,ET1,9
1965-09-21,1965-09-30,10,ET1,5
1965-09-01,1965-09-10,10,ET2.1,12
1965-09-11,1965-09-20,10,ET2.1,11
1965-09-21,1965-09-30,10,ET2.1,5
1965-09-01,1965-09-10,10,ET2.2,16
1965-09-11,1965-09-20,10,ET2.2,10
1965-09-21,1965-09-30,10,ET2.2,4
1965-10-01,1965-10-10,10,ET1,5
1965-10-01,1965-10-10,10,ET2.1,10
1965-10-01,1965-10-10,10,ET2.2,8
1966-07-02,1966-07-10,9,ET3,24
1966-07-11,1966-07-20,10,ET3,31
1966-07-21,1966-07-31,11,ET3,34
1966-08-01,1966-08-10,10,ET3,25
1966-08-11,1966-08-20,10,ET3,25
1966-08-21,1966-08-31,11,ET3,27
1966-09-01,1966-09-10,10,ET3,13
1966-09-11,1966-09-20,10,ET3,10
1966-09-21,1966-09-30,10,ET3,11
1966-10-01,1966-10-10,10,ET3,8
1966-05-07,1966-05-10,4,ET1,7
1966-05-11,1966-05-20,10,ET1,46
1966-05-21,1966-05-31,10,ET1,27
1966-06-01,1966-06-10,10,ET1,37
1966-06-11,1966-06-20,10,ET1,57
