# DATE_TIME format is %Y-%m-%d,,,,,
# DEPTH is the measurement depth under the peat surface (cm),,,,,
# PEAT_TEMP is the peat temperature (degree Celsuis),,,,,
# OBS_TYPE is the daily average,,,,,
# SITE is the observation site: valid values are 1 or 2,,,,,
# QC is the quality control: 1 - ready-to-use value; 0 - unreliable value,,,,,
DATE_TIME,DEPTH,PEAT_TEMP,OBS_TYPE,SITE,QC
1953-07-16,15,14.5,avg,PT1,0
1953-07-16,20,14.1,avg,PT1,0
1953-07-16,40,13,avg,PT1,0
1953-07-16,80,10.2,avg,PT1,0
1953-07-18,5,15.8,avg,PT1,0
1953-07-18,10,13.5,avg,PT1,0
1953-07-18,15,14,avg,PT1,0
1953-07-19,5,15.6,avg,PT1,0
1953-07-19,10,14.8,avg,PT1,0
1953-07-19,15,14.5,avg,PT1,0
1953-07-19,20,14,avg,PT1,0
1953-07-19,40,12.8,avg,PT1,0
1953-07-19,80,10.5,avg,PT1,0
1953-07-20,5,17.1,avg,PT1,0
1953-07-20,10,15.2,avg,PT1,0
1953-07-20,15,14.9,avg,PT1,0
1953-07-20,20,14.3,avg,PT1,0
1953-07-20,40,13,avg,PT1,0
1953-07-20,80,10.6,avg,PT1,0
1953-07-22,40,13.4,avg,PT1,0
1953-07-22,80,10.7,avg,PT1,0
1953-07-23,40,13.2,avg,PT1,0
1953-07-23,80,10.7,avg,PT1,0
1953-07-24,40,13.5,avg,PT1,0
1953-07-24,80,10.6,avg,PT1,0
1953-07-25,20,14.3,avg,PT1,0
1953-07-25,40,13.5,avg,PT1,0
1953-07-25,80,10.9,avg,PT1,0
1953-07-26,20,13.8,avg,PT1,0
1953-07-26,80,10.9,avg,PT1,0
1953-07-27,20,15.2,avg,PT1,0
1953-07-27,40,13.7,avg,PT1,0
1953-07-27,80,10.9,avg,PT1,0
1953-07-28,20,15.1,avg,PT1,0
1953-07-28,40,13.9,avg,PT1,0
1953-07-28,80,11.1,avg,PT1,0
1953-07-29,20,14.8,avg,PT1,0
1953-07-29,40,13.7,avg,PT1,0
1953-07-29,80,11.2,avg,PT1,0
1953-07-30,20,14.6,avg,PT1,0
1953-07-30,40,13.7,avg,PT1,0
1953-07-30,80,11.2,avg,PT1,0
1953-07-31,20,14.8,avg,PT1,0
1953-07-31,40,13.8,avg,PT1,0
1953-07-31,80,11.5,avg,PT1,0
1953-08-01,40,13.8,avg,PT1,0
1953-08-01,80,11.4,avg,PT1,0
1953-08-02,40,13.9,avg,PT1,0
1953-08-02,80,11.3,avg,PT1,0
1953-08-03,40,13.8,avg,PT1,0
1953-08-03,80,11.4,avg,PT1,0
1953-08-04,40,13.7,avg,PT1,0
1953-08-04,80,11.6,avg,PT1,0
1953-08-05,40,13.6,avg,PT1,0
1953-08-05,80,11.5,avg,PT1,0
1953-08-06,40,13.5,avg,PT1,0
1953-08-06,80,11.4,avg,PT1,0
1953-08-07,40,13.4,avg,PT1,0
1953-08-07,80,11.5,avg,PT1,0
1953-08-10,40,13.4,avg,PT1,0
1953-08-10,80,11.5,avg,PT1,0
1953-08-11,40,13.3,avg,PT1,0
1953-08-11,80,11.8,avg,PT1,0
1953-08-12,40,13.6,avg,PT1,0
1953-08-12,80,11.5,avg,PT1,0
1953-08-13,40,13.3,avg,PT1,0
1953-08-13,80,11.4,avg,PT1,0
1953-08-14,40,13.3,avg,PT1,0
1953-08-14,80,11.5,avg,PT1,0
1953-08-15,40,13.4,avg,PT1,0
1953-08-15,80,11.7,avg,PT1,0
1953-08-16,40,13.5,avg,PT1,0
1953-08-16,80,11.2,avg,PT1,0
1953-08-17,40,13.6,avg,PT1,0
1953-08-17,80,11.6,avg,PT1,0
1953-08-18,40,13.8,avg,PT1,0
1953-08-18,80,12,avg,PT1,0
1953-08-19,40,14.1,avg,PT1,0
1953-08-19,80,12.4,avg,PT1,0
1953-08-23,40,15,avg,PT1,0
1953-08-23,80,13.4,avg,PT1,0
1953-08-24,40,13.9,avg,PT1,0
1953-08-24,80,14,avg,PT1,0
1953-08-25,40,13.4,avg,PT1,0
1953-08-27,40,13.2,avg,PT1,0
1953-08-27,80,12.1,avg,PT1,0
1953-08-28,40,13.3,avg,PT1,0
1953-08-28,80,12,avg,PT1,0
1953-08-29,40,13.3,avg,PT1,0
1953-08-29,80,11.8,avg,PT1,0
1953-08-31,40,13.6,avg,PT1,0
1953-08-31,80,12.3,avg,PT1,0
1953-09-01,40,13.1,avg,PT1,0
1953-09-01,80,11.8,avg,PT1,0
1953-09-02,40,13.1,avg,PT1,0
1953-09-02,80,12,avg,PT1,0
1953-09-03,40,13,avg,PT1,0
1953-09-03,80,11.7,avg,PT1,0
1953-09-06,40,12.4,avg,PT1,0
1953-09-06,80,11.6,avg,PT1,0
1953-09-07,40,12.4,avg,PT1,0
1953-09-08,40,12.3,avg,PT1,0
1953-09-08,80,11.8,avg,PT1,0
1953-09-09,40,12,avg,PT1,0
1953-09-09,80,11,avg,PT1,0
1953-09-10,40,11.8,avg,PT1,0
1953-09-11,40,11.4,avg,PT1,0
1953-09-11,80,11.4,avg,PT1,0
1953-09-12,40,11.1,avg,PT1,0
1953-09-12,80,11.1,avg,PT1,0
1953-09-13,80,11.2,avg,PT1,0
1953-09-14,40,11,avg,PT1,0
1953-09-14,80,11,avg,PT1,0
1953-09-15,40,9.4,avg,PT1,0
1953-09-15,80,10.9,avg,PT1,0
1953-09-16,40,9.9,avg,PT1,0
1953-09-16,80,11,avg,PT1,0
1953-09-17,40,10.2,avg,PT1,0
1953-09-17,80,11,avg,PT1,0
1953-09-18,40,9.9,avg,PT1,0
1953-09-18,80,10.6,avg,PT1,0
1953-09-19,40,10,avg,PT1,0
1953-09-19,80,10.6,avg,PT1,0
1953-09-20,80,10.6,avg,PT1,0
1953-09-21,40,10.7,avg,PT1,0
1953-09-21,80,10.7,avg,PT1,0
1953-09-22,40,9.9,avg,PT1,0
1953-09-22,80,10.3,avg,PT1,0
1953-09-24,40,10.4,avg,PT1,0
1953-09-24,80,10.3,avg,PT1,0
1953-09-25,40,10.6,avg,PT1,0
1953-09-25,80,10.3,avg,PT1,0
1953-09-26,40,10.5,avg,PT1,0
1953-09-26,80,10.3,avg,PT1,0
1953-09-27,40,10.5,avg,PT1,0
1953-09-27,80,10.2,avg,PT1,0
1953-09-29,40,9.1,avg,PT1,0
1953-09-29,80,10,avg,PT1,0
1953-09-30,40,8.6,avg,PT1,0
1953-09-30,80,10.2,avg,PT1,0
1954-02-01,5,-0.4,avg,PT1,0
1954-02-01,10,-0.8,avg,PT1,0
1954-02-01,15,-0.3,avg,PT1,0
1954-02-01,20,0,avg,PT1,0
1954-02-01,40,0.9,avg,PT1,0
1954-02-01,80,1.8,avg,PT1,0
1954-02-01,160,5,avg,PT1,0
1954-02-01,2.5,-0.2,avg,PT1,0
1954-02-02,5,-0.5,avg,PT1,0
